Power,Speedup (jy-msm vs wlc-msm-con),Speedup (jy-msm vs wlc-msm-bal),Speedup (jy-msm vs sppark)
2**1,4.154885654885655,3.4823284823284824,1.4963617463617465
2**2,2.893008641005499,2.4798114689709347,0.9407698350353496
2**3,3.4052664381427236,2.840604549703958,0.9610470551573699
2**4,3.3935405075315512,2.86755326367214,0.9430044782195685
2**5,3.405966438781852,3.0962088253573645,1.0155376009944064
2**6,1.9283534981588637,1.7219358232509205,0.984113624408206
2**7,1.362977369165488,1.1737977369165489,1.0113154172560113
2**8,1.2662169174883235,1.0905923344947734,0.9928830899251242
2**9,1.0341223278710634,0.8880571852451278,0.9898172499831411
2**10,1.0418689703007755,0.933602370893499,0.9992433318620342
2**11,1.0829855729104567,0.9803266960772623,0.996721116012877
2**12,1.0427017372950154,0.9853331168479731,0.9821940791253991
2**13,0.9733646690168428,1.0015667841754798,0.9919484702093398
2**14,0.9158018778271942,1.003687231535333,0.9994678222526324
2**15,0.8358589991162897,1.0411088927437568,1.0074624423133571
2**16,0.7930210193707926,1.150680038466822,1.0042588267619177
2**17,0.8058116466332127,1.3889602053915275,1.0080522814797526
2**18,0.8457554162424763,1.7213202593366554,0.9893014699315937
2**19,0.8801656968142815,2.073959463457935,0.9992602820791007
2**20,0.960062652811736,2.381845965770171,1.0063875305623473
2**21,0.967688257606465,2.565496025566085,0.9835305261271563
