pid, used_gpu_memory [MiB]
2014257, 670 MiB
2014257, 246 MiB
2014257, 286 MiB
2014257, 246 MiB
pid, used_gpu_memory [MiB]
2014969, 246 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 1694 MiB
2014969, 246 MiB
2014969, 286 MiB
2014969, 246 MiB
pid, used_gpu_memory [MiB]
2015728, 246 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 1694 MiB
2015728, 246 MiB
2015728, 286 MiB
2015728, 246 MiB
